Song,Lyrics
Please Please Please,"I know I have good judgment, I know I have good taste"
Please Please Please,It's funny and it's ironic that only I feel that way
Please Please Please,I promise 'em that you're different and everyone makes mistakes
Please Please Please,But just don't
Please Please Please,"I heard that you're an actor, so act like a stand-up guy"
Please Please Please,"Whatever devil's inside you, don't let him out tonight"
Please Please Please,I tell them it's just your culture and everyone rolls their eyes
Please Please Please,"Yeah, I know"
Please Please Please,"All I'm asking, baby"
Please Please Please,"Please, please, please"
Please Please Please,Don't prove I'm right
Please Please Please,"And please, pleasе, please"
Please Please Please,Don't bring me to tеars when I just did my makeup so nice
Please Please Please,"Heartbreak is one thing, my ego's another"
Please Please Please,"I beg you, don't embarrass me, motherfucker, oh"
Please Please Please,"Please, please, please "
Please Please Please,"Well, I have a fun idea, babe , maybe just stay inside"
Please Please Please,"I know you're cravin' some fresh air, but the ceiling fan is so nice "
Please Please Please,And we could live so happily if no one knows that you're with me
Please Please Please,"I'm just kidding, but really , really, really"
Please Please Please,"Please, please, please "
Please Please Please,Don't prove I'm right
Please Please Please,"And please, please, please"
Please Please Please,Don't bring me to tears when I just did my makeup so nice
Please Please Please,"Heartbreak is one thing , my ego's another "
Please Please Please,"I beg you, don't embarrass me, motherfucker, oh"
Please Please Please,"Please, please, please "
Please Please Please,If you wanna go and be stupid
Please Please Please,Don't do it in front of me
Please Please Please,If you don't wanna cry to my music
Please Please Please,Don't make me hate you prolifically
Please Please Please,"Please, please, please "
Please Please Please,"Please, please, please "
Please Please Please,"Please , please , please"
Bed Chem,I was in a sheer dress the day that we met
Bed Chem,"We were both in a rush, we talked for a sec"
Bed Chem,Your friend hit me up so we could connect
Bed Chem,And what are the odds? You send me a text
Bed Chem,"And now the next thing I know, I'm like"
Bed Chem,Manifest that you're oversized
Bed Chem,"I digress, got me scrollin' like"
Bed Chem,"Out of breath, got me goin' like"
Bed Chem,Ooh 
Bed Chem,Who's the cute boy with the white jacket and the thick accent? Like
Bed Chem,Ooh 
Bed Chem,Maybe it's all in my head
Bed Chem,But I bеt we'd have really good bеd chem
Bed Chem,"How you pick me up, pull 'em down, turn me 'round"
