Artist,Title,Album,Lyric,Year
Sabrina Carpenter,Please Please Please,Short n’ Sweet (Deluxe),"[Verse 1]
I know I have good judgment, I know I have good taste
It's funny and it's ironic that only I feel that way
I promise 'em that you're different and everyone makes mistakes
But just don't
I heard that you're an actor, so act like a stand-up guy
Whatever devil's inside you, don't let him out tonight
I tell them it's just your culture and everyone rolls their eyes
Yeah, I know
All I'm asking, baby

[Chorus]
Please, please, please
Don't prove I'm right
And please, pleasе, please
Don't bring me to tеars when I just did my makeup so nice
Heartbreak is one thing, my ego's another
I beg you, don't embarrass me, motherfucker, oh
Please, please, please (Ah)

[Verse 2]
Well, I have a fun idea, babe (Uh-huh), maybe just stay inside
I know you're cravin' some fresh air, but the ceiling fan is so nice (It's so nice, right?)
And we could live so happily if no one knows that you're with me
I'm just kidding, but really (Kinda), really, really


[Chorus]
Please, please, please (Please don't prove I'm right)
Don't prove I'm right
And please, please, please
Don't bring me to tears when I just did my makeup so nice
Heartbreak is one thing (Heartbreak is one thing), my ego's another (Ego's another)
I beg you, don't embarrass me, motherfucker, oh
Please, please, please (Ah)

[Outro]
If you wanna go and be stupid
Don't do it in front of me
If you don't wanna cry to my music
Don't make me hate you prolifically
Please, please, please (Please)
Please, please, please (Please)
Please (Please), please (Please), please
(Ah)",2024
Sabrina Carpenter,Juno,Short n’ Sweet (Deluxe),"[Intro]
(Ooh, ah-ah, ooh)

[Verse 1]
Don't have to tell your hot ass a thing
Oh yeah, you just get it
Whole package, babe, I like the way you fit
God bless your dad's genetics, mm, uh

[Pre-Chorus]
You make me wanna make you fall in love
Oh, late at night, I'm thinking 'bout you, ah-ah
Wanna try out my fuzzy pink handcuffs?
Oh, I hear you knockin', baby, come on up

[Chorus]
I know you want my touch for life
If you love me right, then who knows?
I might let you make me Juno
You know I just might
Let you lock me down tonight
One of me is cute, but two though?
Give it to me, baby
You make me wanna make you fall in love (Oh)

[Verse 2]
I showed my friends, then we high-fived (Ah-ah)
Sorry if you feel objеctified (Ah-ah)
Can't help myself, hormonеs are high
Give me more than just some butterflies


[Pre-Chorus]
You make me wanna make you fall in love
Oh, late at night, I'm thinking 'bout you, ah-ah
Wanna try out some freaky positions?
Have you ever tried this one?

[Chorus]
I know you want my touch for life
If you love me right, then who knows?
I might let you make me Juno
You know I just might
Let you lock me down tonight
One of me is cute, but two though?
Give it to me, baby
You make me wanna make you fall in love

[Bridge]
Adore me
Hold me and explore me
Mark your territory (Ah-ah)
Tell me I'm the only, only, only, only one (Ah-ah)
Adore me
Hold me and explore me (Ah-ah)
I'm so fuckin' horny
Tell me I'm the only, only, only, only one


[Guitar Solo]
Ah
Ooh-ooh

[Chorus]
(Oh, I) I know you want my touch for life
If you love me right, then who knows?
I might let you make me Juno
You know I just might (Might)
Let you lock me down tonight
One of me is cute, but two though?
Give it to me, baby
You make me wanna make you fall in love",2024
Sabrina Carpenter,Bed Chem,Short n’ Sweet (Deluxe),"[Verse 1]
I was in a sheer dress the day that we met
We were both in a rush, we talked for a sec
Your friend hit me up so we could connect
And what are the odds? You send me a text
And now the next thing I know, I'm like
Manifest that you're oversized
I digress, got me scrollin' like
Out of breath, got me goin' like

[Pre-Chorus]
Ooh (Ah)
Who's the cute boy with the white jacket and the thick accent? Like
Ooh (Ah)
Maybe it's all in my head

[Chorus]
But I bеt we'd have really good bеd chem
How you pick me up, pull 'em down, turn me 'round
Oh, it just makes sense
How you talk so sweet when you're doin' bad things
That's bed (Bed) chem (Chem)
How you're lookin' at me, yeah, I know what that means
And I'm obsessed
Are you free next week?
I bet we'd have really good


[Verse 2]
Come right on me, I mean camaraderie
Said you're not in my time zone, but you wanna be
Where art thou? Why not uponeth me?
See it in my mind, let's fulfill the prophecy

[Pre-Chorus]
Ooh (Ah)
Who's the cute guy with the wide blue eyes and the big bad mm? Like
Ooh (Ah)
I know I sound a bit redundant

[Chorus]
But I bet we'd have really good bed chem
How you pick me up, pull 'em down, turn me 'round
Oh, it just makes sense (Oh, it just makes sense)
How you talk so sweet when you're doin' bad things (Bad)
That's bed chem (Oh, that's bed chem)
How you're lookin' at me, yeah, I know what that means
And I'm obsessed (So obsessed)
Are you free next week?
I bet we'd have really good (Bed chem)

[Bridge]
And I bet we'd both arrive at the same time (Bed chem)
And I bet the thermostat's set at six-nine (Bed-bed ch-chem)
And I bet it's even better than in my head (My)


[Chorus]
How you pick me up, pull 'em down, turn me 'round (Ooh)
Oh, it just makes sense (Oh, it just makes sense)
How you talk so sweet when you're doin' bad things
That's bed chem (Oh, that's bed chem)
How you're lookin' at me, yeah, I know what that means
And I'm obsessed (So obsessed)
Are you free next week? (Are you free next week?)
I bet we'd have really good

[Outro]
Ha (Make me go), ha
No-no-no
Ha (Make me go), ha
No-no-no, no, oh no, oh
Ha (Make me go), ha (Yeah, yeah)
No-no-no, oh
Ha (Make me go), ha
Ooh, oh, baby
(A little fade-out?)",2024
Sabrina Carpenter,Taste,Short n’ Sweet (Deluxe),"[Verse 1]
Oh, I leave quite an impression
Five feet to be exact
You're wonderin' why half his clothes went missin'
My body's where they're at

[Pre-Chorus]
Now I'm gone, but you're still layin'
Next to me, one degree of separation

[Chorus]
I heard you're back together and if that's true
You'll just have to taste me when he's kissin' you
If you want forever, and I bet you do
Just know you'll taste me too

[Post-Chorus]
Uh-huh

[Verse 2]
He pins you down on the carpet
Makes paintings with his tongue (La-la-la-la-la-la-la)
Hе's funny now, all his jokes hit different
Guеss who he learned that from?

[Pre-Chorus]
Now I'm gone, but you're still layin'
Next to me, one degree of separation


[Chorus]
I heard you're back together and if that's true
You'll just have to taste me when he's kissin' you
If you want forever, and I bet you do (I bet you do)
Just know you'll taste me too

[Post-Chorus]
La-la-la-la-la-la-la

[Bridge]
Every time you close your eyes
And feel his lips, you're feelin' mine
And every time you breathe his air
Just know I was already there
You can have him if you like
I've been there, done that once or twice
And singin' 'bout it don't mean I care
Yeah, I know I've been known to share

[Chorus]
Well, I heard you're back together and if that's true
You'll just have to taste me when he's kissin' you
If you want forever, and I bet you do (I bet you do)
Just know you'll taste me too

[Outro]
Taste me too, ow (La-la-la-la-la-la-la)
You'll just have to taste me when he's kissin' you
You, no, yeah, ah-ah (La-la-la-la-la-la-la)
You'll just have to taste me when he's kissin' you",2024
Sabrina Carpenter,Espresso,Short n’ Sweet (Deluxe),"[Verse 1]
I can't relate to desperation
My give-a-fucks are on vacation
And I got this one boy and he won't stop calling
When they act this way, I know I got 'em

[Pre-Chorus]
(Mm) Too bad your ex don't do it for ya
(Mm) Walked in and dream-came-trued it for ya
(Mm) Soft skin and I perfumed it for ya
(Yes) I know I Mountain Dew it for ya
(Yes) That morning coffee, brewed it for ya
(Yes) One touch and I brand-newed it for ya (Ooh)

[Chorus]
And now he's thinkin' 'bout me every night, oh
Is it that sweet? I guess so
Say you can't sleep, baby, I know
That's that me espresso
Move it up, down, left, right, oh
Switch it up like Nintendo
Say you can't sleep, baby, I know
That's that me espresso


[Post-Chorus]
Holy shit
Is it that sweet? I guess so (Mm)

[Verse 2]
I'm working late 'cause I'm a singer
Oh, he looks so cute wrapped 'round my finger
My twisted humor make him laugh so often
My honeybee, come and get this pollen

[Pre-Chorus]
(Mm) Too bad your ex don't do it for ya
(Mm) Walked in and dream-came-trued it for ya
(Mm) Soft skin and I perfumed it for ya (Ayy, ayy, oh)
(Yes) I know I Mountain Dew it for ya
(Yes) That morning coffee, brewed it for ya
(Yes) One touch and I brand-newed it for ya (Stupid)

[Chorus]
Now he's thinkin' 'bout me every night, oh
Is it that sweet? I guess so
Say you can't sleep, baby, I know
That's that me espresso
Move it up, down, left, right, oh
Switch it up like Nintendo
Say you can't sleep, baby, I know
That's that me espresso (Yes)
Thinkin' 'bout me every night, oh
Is it that sweet? I guess so (Yes)
Say you can't sleep, baby, I know
That's that me espresso (Yes)
Move it up, down, left, right, oh (Move it up, down, left, right, oh)
Switch it up like Nintendo (Yes)
Say you can't sleep, baby, I know
That's that me espresso


[Outro]
Is it that sweet? I guess so
Mm, that's that me espresso",2024
Sabrina Carpenter,Skin,NOW That’s What I Call Music! 108 [UK],"[Verse 1]
Maybe we could've been friends
If I met you in another life
Maybe then we could pretend
There's no gravity in the words we write
Maybe you didn't mean it
Maybe ""blonde"" was the only rhyme
The only rhyme

[Pre-Chorus]
Want my heart to be breakin', breakin', no
I'm happy and you hate it, hate it, oh
And I'm not asking you to let it go
But you been tellin' your side
So I'll be tellin' mine, oh

[Chorus]
You can try
To get under my, under my, under my skin
While hе's on mine
Yeah, all on my, all on my, all on my skin
I wish you knew that еven you
Can't get under my skin if I don't let you in

[Verse 2]
You're tellin' it how you see it
Like truth is whatever you decide
Some people will believe it
And some will read in between the lines
You're putting me in the spotlight
But I've been under it all my life
Said all my life


[Pre-Chorus]
Want my heart to be breakin', breakin', no
I'm happy and you hate it, hate it, oh
And I'm not asking you to let it go
But you been tellin' your side
So I'll be tellin' mine (Mine, oh)

[Chorus]
You can try
To get under my, under my, under my skin
While he's on mine
Yeah, all on my, all on my, all on my skin
I wish you knew that even you
Can't get under my skin if I don't let you in, oh
You can try
To get under my, under my, under my skin
While he's on mine
Yeah, all on my, all on my, all on my skin
I wish you knew that even you
Can't get under my skin if I don't let you in, oh

[Bridge]
I just hope that one day
We both can laugh about it
When it's not in our face
Won't have to dance around it
Don't drive yourself insane
It won't always be this way


[Chorus]
You can try
To get under my, under my, under my skin
While he's on mine
Yeah, all on my, all on my, all on my skin
I wish you knew that even you
Can't get under my skin if I don't let you in",2021
Sabrina Carpenter,Good Graces,Short n’ Sweet (Deluxe),"[Intro]
(I won't give a fuck about you)
Oh, mm
(I won't give a fuck about you)
Mm

[Verse 1]
When I love you, I'm sweet like an angel
Drawin' hearts 'round our names
And dreamin' of writing vows, rockin' cradles
Don't mistake my nice for naive

[Pre-Chorus]
I don't waste a second, I know lots of guys
You do somethin' suspect, this cute ass bye-bye
Like, ooh
Baby, you say you really like it being mine?
So let me give you some advice

[Chorus]
Boy, it's not that complicated
You should stay in my good graces
Or I'll switch it up like that so fast
'Cause no one's more amazin'
At turnin' lovin' into hatred
Boy, it's not that complicated
You should stay in my good graces
Or I'll switch it up like that (Like that) so fast (So fast)
'Cause no one's more amazin'
At turnin' lovin' into hatred


[Post-Chorus]
I won't give a fuck about you
I won't give a fuck about you
I won't give a fuck about you
That was cool
I won't give a fuck about you (Oh)
I won't give a fuck about you
I won't give a fuck about you
Yeah

[Verse 2]
I'll tell the world you finish your chores prematurely
Break my heart and I swear I'm movin' on
With your favorite athlete
Shoot his shot every night

[Pre-Chorus]
Want you every second, don't need other guys
You do somethin' sus, kiss my cute ass bye

[Chorus]
Boy, it's not that complicated
You should stay in my good graces (Ah)
Or I'll switch it up like that so fast
'Cause no one's more amazin' (Amazin')
At turnin' lovin' into hatred
Boy, it's not that complicated (No)
You should stay in my good graces (Ah)
Or I'll switch it up like that (Like that) so fast (So fast)
'Cause no one's more amazin'
At turnin' lovin' into hatred


[Post-Chorus]
I won't give a fuck about you
I won't give a fuck about you
I won't give a fuck about you
Oh, no
I won't give a fuck about you (Oh)
I won't give a fuck about you
I won't give a fuck about you
Oh

[Outro]
No, I won't
I won't give a fuck about you, no, I won't
(I won't, I won't, I won't)
No, I won't
I won't give a fuck about you, no, I won't
(I won't, I won't, I won't)",2024
Sabrina Carpenter,Busy Woman,Short n’ Sweet (Deluxe),"[Intro]
(Oh, hey)
Oh

[Verse 1]
I'm so mature, collected and sensible
Except when I get hit with rejection
To turn me down, well, that's just unethical
I'll turn into someone you're scared to know

[Chorus]
But if you need my love
My clothes are off, I'm comin' over to your place
And if you don't need (If you don't need) my love
Well, I didn't want your little bitch-ass anyway
Yeah, I'm a busy woman
I wouldn't let you come into my calendar any night
But if you want my kisses
I'll be your perfect Mrs. 'til the day that one of us dies (Oh, hey)

[Post-Chorus]
Busy woman, all the time
Busy woman

[Verse 2]
So much to shave and lipstick to reapply
Maybe for you, though, I could accommodate
I'm flexible, so just tell me what you like
Tantric yoga, baby, namaste
If you don't want me, I'll just deem you gay


[Chorus]
But if you need my love
My clothes are off, I'm comin' over to your place (Ah)
And if you don't need (If you don't need) my love
Well, I didn't want your little bitch-ass anyway
Yeah, I'm a busy woman
I wouldn't let you come into my calendar any night
But if you want my kisses
I'll be your perfect Mrs. 'til the day that one of us dies

[Bridge]
Busy woman, all the time
Busy woman for the rest of my life
My openings are super tight
Busy woman, unless you call tonight
Night (Ooh)
Ooh

[Chorus]
But if you need my love
My clothes are off, I'm comin' over to your place (Ah)
And if you don't need (If you don't need) my love (My love)
Well, I didn't want your little bitch-ass anyway
'Cause I'm a busy woman (Oh, hey)
I wouldn't let you come into my calendar any night
But if you want my kisses
I'll be your perfect Mrs. 'til the day that one of us dies",2024
Sabrina Carpenter,Slim Pickins,Short n’ Sweet (Deluxe),"[Verse 1]
Guess I'll end this life alone
I am not dramatic
These are just the thoughts that pass right through me
All the douchebags in my phone
Play 'em like a slot machine
If they're winnin', I'm just losin'

[Pre-Chorus]
A boy who's jacked and kind
Can't find his ass to save my life

[Chorus]
Oh, it's slim pickings
If I can't have the one I love
I guess it's you that I'll be kissin'
Just to get my fixings
Since the good ones are deceased or taken
I'll just keep on moanin' and bitchin'

[Post-Chorus]
Ah-ah-ah-ah
Ah-ah-ah-ah

[Verse 2]
Jesus, what's a girl to do?
This boy doesn't even know
The difference between ""there,"" ""their"" and ""they are""
Yet he's naked in my room
Missin' all the things he's missin'
God knows that he isn't livin' large


[Pre-Chorus]
A boy who's nice that breathes
I swear he's nowhere to be seen

[Chorus]
It's slim pickings
If I can't have the one I love
I guess it's you that I'll be kissin'
Just to get my fixings
Since the good ones are deceased or taken
I'll just keep on moanin' and bitchin'

[Post-Chorus]
Moanin' and bitchin'

[Outro]
Since the good ones call their exes wasted
And since the Lord forgot my gay awakenin'
Then I'll just be here in the kitchen
Servin' up some moanin' and bitchin'",2024
Sabrina Carpenter,Sharpest Tool,Short n’ Sweet (Deluxe),"72 ContributorsTranslationsTiếng ViệtPolskiEspañolsrpskiPortuguêsNederlandsSabrina Carpenter - Sharpest Tool (한국어 번역)Bahasa IndonesiaČeskyCatalàTürkçeБеларускаяУкраїнськаРусский (Russian)ΕλληνικάFrançaisItalianoМакедонскиDeutschSharpest Tool Lyrics[Verse]
I know you're not
The sharpest tool in the shed
We had sex, I met your best friends
Then a bird flies by and you forget
I don't hear a word
'Til your guilt creeps in
On a Tuesday, send a soft ""hey""
As if you really don't recall the time

[Pre-Chorus]
We were goin' right, then you took a left
Left me with a lot of shit to second-guess
Guess I'll waste another year on wonderin' if
If that was casual, then I'm an idiot
I'm lookin' for an answer in-between the lines
Lyin' to yourself if you think we'rе fine
You're confused and I'm upsеt, but

[Chorus]
We never talk about it
We never talk about it
We never talk about it

[Bridge]
All the silence just makes it worse, really
'Cause it leaves you so top-of-mind for me
All the silence is just your strategy
'Cause it leaves you so top-of-mind for me


[Refrain]
We never talk about how you
Found God at your ex's house, always
Made sure that the phone was face-down
Seems like overnight, I'm just the bitch you hate now
We never talk it through
How you guilt-tripped me to open up to you
Then you logged out, leavin' me dumbfounded, oh-oh

[Pre-Chorus]
We were goin' right, then you took a left
Left me with a lot of shit to second-guess
Guess I'll waste another year on wonderin' if
If that was casual, then I'm an idiot
I'm lookin' for an answer in-between the lines
Lyin' to yourself if you think we're fine
You're confused and I'm upset, but

[Chorus]
We never talk about it (We don't talk about it, we don't talk about it)
We never talk about it (We don't talk about it, talk, talk, talk about it)
We never talk about it (We don't talk about it, we don't talk about it)
(We don't talk about it, we don't talk about it)

[Refrain]
We never talk about how you
Found God at your ex's house, always
Made sure that the phone was face-down
Seems like overnight, I'm just the bitch you hate now
We never talk it through
How you guilt-tripped me to open up to you
Then you logged out, leavin' me dumbfounded, oh-oh


[Outro]
We don't talk about it, we don't talk about it (We never talk about it)
We don't talk about it, talk, talk, talk about it (We never talk about it)
We don't talk about it, we don't talk about it (We never talk about it)
We don't talk about it, we don't talk about it",2024
